,run_no_0,run_no_1,run_no_2,run_no_3,run_no_4,run_no_5,run_no_6,run_no_7,run_no_8,run_no_9,run_no_10,run_no_11,run_no_12,run_no_13,run_no_14,run_no_15,run_no_16,run_no_17,run_no_18,run_no_19,run_no_20,run_no_21,run_no_22,run_no_23,run_no_24,run_no_25,run_no_26,run_no_27,run_no_28,run_no_29,run_no_30,run_no_31,run_no_32,run_no_33,run_no_34,run_no_35,run_no_36,run_no_37,run_no_38,run_no_39,run_no_40,run_no_41,run_no_42,run_no_43,run_no_44,run_no_45,run_no_46,run_no_47,run_no_48,run_no_49,run_no_50,run_no_51,run_no_52,run_no_53,run_no_54,run_no_55,run_no_56,run_no_57,run_no_58,run_no_59,run_no_60,run_no_61,run_no_62,run_no_63,run_no_64,run_no_65,run_no_66,run_no_67,run_no_68,run_no_69,run_no_70,run_no_71,run_no_72,run_no_73,run_no_74,run_no_75,run_no_76,run_no_77,run_no_78,run_no_79,run_no_80,run_no_81,run_no_82,run_no_83,run_no_84,run_no_85,run_no_86,run_no_87,run_no_88,run_no_89,run_no_90,run_no_91,run_no_92,run_no_93,run_no_94,run_no_95,run_no_96,run_no_97,run_no_98,run_no_99,average,emp_q95,emp_q05,stat_q95,stat_q05
10,8950,19495,20704,18371,9537,19906,10961,10412,10554,14062,23090,10919,44572,14181,13036,10750,10851,10916,24004,10883,10855,23935,10801,10910,10784,33516,33134,30340,10813,13604,12769,13534,13718,13580,13390,15011,13287,17409,13529,13587,13632,13720,32398,13743,13480,14058,13764,15059,13993,30966,13768,14787,14795,13476,14498,30318,21032,15144,33947,13738,13690,15212,13666,15109,23687,13802,14153,14239,13967,29853,13759,14011,11510,14245,14133,28715,12658,33185,33647,29825,44830,13970,13833,18820,16195,43572,101109,75072,24494,95344,34352,31107,15330,17221,15499,18792,32359,29637,15331,14652,20495,61463.09999999992,10642.2,23789.95521954751,17805.409828996184
11,13448,24909,17574,21108,9837,20169,10434,10698,10887,13346,29699,10961,36952,13106,13346,12897,10907,10916,24319,13267,10897,10877,10949,10837,10901,25260,29582,32313,13305,13330,17329,13826,14626,13762,17463,13692,16820,13486,13673,13939,13839,13869,34747,13702,14067,13918,13936,14726,14035,18087,13985,14050,13297,13744,13837,31014,15534,16017,32618,13857,15098,15121,13829,15480,30185,14602,14221,14079,13982,14015,14238,14402,14054,14494,14216,30273,13971,32582,31645,27887,17482,14167,14683,15384,15674,55628,15384,68155,63369,36706,16590,32140,14924,17355,26360,35156,32263,40955,15079,15531,19198,49025.14999999996,10760.55,21541.463042012358,17271.521424007056
12,13552,29651,17672,19600,9828,19361,10266,10612,10845,13461,24182,16532,36966,11473,13295,11031,10964,10927,24035,16053,10923,10974,10930,12697,10981,33654,29861,31607,13303,13564,16124,13722,13777,14154,13807,14145,17639,17624,13825,14080,13694,15240,29655,13961,14062,14155,13899,14176,14153,14298,14160,14390,13745,13533,13843,30393,13172,14269,20758,14304,15243,15043,15223,16782,13906,13919,14195,14246,14831,14316,14780,14836,13963,14386,14581,29908,15174,29140,31593,29394,20945,14401,14228,14613,27689,47408,19056,61589,78799,25511,21230,31994,14719,15598,16334,17086,32049,31904,15022,14756,18679,42709.09999999997,10716.85,20872.56094964659,16798.350700838848
13,13376,16637,17382,17818,12592,20305,10765,10587,13025,13369,29628,15782,41312,13276,13341,10917,10770,10988,13180,16398,12893,10797,11044,12950,12934,30173,30411,34101,13389,14025,14887,13672,13794,13954,14887,14006,19113,14921,14018,13800,13758,15260,29577,14049,13892,15497,14532,13970,14208,13911,14107,14532,13799,13670,14129,14949,14150,13988,46829,16795,16282,13960,15376,15490,17833,27484,14531,14195,13831,14627,14401,17265,14376,14320,14591,15404,14217,24722,32752,30608,76781,14863,15414,15006,28383,42307,15729,65236,49699,53863,15507,31805,16073,19915,17107,18797,15820,33956,14959,18533,19228,51989.19999999999,10782.15,21744.149028886215,17184.712136162325
14,13525,12972,17633,21228,9829,30380,10735,10488,10844,13368,29051,15295,29595,14343,13162,13276,10914,13250,14008,16302,13067,13375,10933,10848,10980,30006,31399,34243,13471,13684,11388,13797,13893,14047,14929,13976,14762,15478,13801,13668,14428,15109,29721,13718,14083,14441,14066,13981,14007,14057,13940,14148,13746,13982,14168,15802,14362,13525,41871,15439,14238,14219,14136,14352,30370,15786,14684,14219,14645,14134,14246,14047,14378,14453,13899,15469,14451,28645,31762,33381,31718,14436,67884,14811,45213,48267,16885,50738,50097,81707,14998,32255,15105,15933,17212,18988,15246,37378,14979,15138,19450,50449.549999999996,10784.05,22074.33140596455,17260.08801151118
15,8961,11245,21338,29740,10175,20998,13369,12785,10910,13442,24256,17062,33394,13528,13283,13461,13555,13470,16819,15644,10861,13463,13237,13579,13568,30571,28950,30823,13359,14208,14500,16954,14053,14330,15148,15159,14010,15301,14016,14276,14456,15405,29811,14196,14325,14414,14375,14531,14484,14071,14368,14349,13831,15643,17391,15184,15592,15623,34695,15647,14543,14360,14382,15483,14150,17244,14870,14512,14760,14444,14421,14414,14468,14957,14179,14722,14092,29485,31695,32945,32660,15300,53297,14607,32043,96910,21085,79103,53726,32396,16296,14631,15393,13509,15536,16946,15352,36265,14716,15242,19393,53532.95,11060.75,22185.127272186415,17102.595057910672
16,11967,13288,22143,19398,11993,21209,10944,13137,13680,13855,10973,17031,29631,13475,13851,13596,14249,13419,17626,12071,13381,13423,13494,13500,13703,34248,31313,34718,14043,14162,14958,14206,15441,27717,15449,18030,14236,14858,15295,17180,15331,14313,29597,13721,14324,13798,13896,14492,15447,14162,14376,14235,13858,14366,14818,15394,14769,15499,46834,14177,15270,14483,14478,15279,14137,19420,13961,14242,14068,14536,14321,14640,14476,14526,14500,27159,14538,32030,29507,38036,30282,17831,56975,18176,30585,26726,15099,50579,47258,82047,14889,14507,15313,17243,15153,15283,15426,34576,22413,14838,19271,49084.54999999999,12028.1,21665.84622665168,17314.496491794926
17,9224,12744,20750,29738,10759,20435,10714,11123,11029,13451,14011,13555,24887,13642,16236,13369,13560,13491,16604,13355,13494,13604,13535,13851,13708,31913,31158,30868,14229,14003,14216,14093,14354,37344,14062,15239,13916,13977,15294,15645,15532,15713,29990,14100,14473,14442,14479,14746,14787,14553,14241,14663,14204,14253,14756,14639,17759,16475,34211,15751,16435,27335,15537,17747,14748,18190,14768,14951,14791,15590,14626,15680,15292,14727,14780,29528,14269,32708,29781,37551,27321,15788,98123,15015,30107,22224,12396,52122,31509,47339,16396,14989,15186,15466,16004,15136,18356,37032,15093,18648,19182,42934.39999999997,11071.3,21549.40749734794,17118.916774496716
18,9231,16037,20644,30029,10455,20540,11353,13126,10946,13458,18157,14117,29924,13594,16240,13501,13579,13658,12058,14240,13436,13601,13555,13484,13658,31361,29304,31117,13984,14293,13874,14783,18139,32259,13655,15395,14823,15034,14437,15630,15470,14618,32134,13963,14145,15373,14264,14302,14960,14871,14045,15810,14291,16389,14464,14522,17283,16166,32246,15538,14238,33156,14359,17532,14573,14555,14615,14290,14183,14358,14673,14435,15052,14744,14409,32789,14572,30411,14296,32499,33545,16628,42885,14592,41274,37328,21575,35967,32016,93026,15819,17485,16216,15782,14882,14942,15779,38183,15077,15541,19178,39883.04999999999,11670.25,21407.293351974873,17205.81926938435
19,17827,9445,20805,29185,10227,21121,11236,10725,13376,13378,21129,17311,29634,13412,13478,13381,13469,13510,13369,16852,13469,13490,13444,13553,13752,30510,30556,31565,14068,14267,13612,15114,13998,30289,14412,15618,17570,15158,13636,14472,14261,14907,31908,13833,15770,14383,14219,14478,14965,14495,15390,14685,14282,14712,13899,15552,14388,15553,29855,15610,15674,29808,14555,14434,14161,14433,14323,14652,14710,14766,14461,14705,14469,14245,14485,33076,14398,30480,14231,35067,32425,16299,84139,19826,17644,36221,16541,71503,32130,30234,15594,20355,56334,15501,16859,14871,15484,34001,15078,15108,19398,47283.14999999994,10954.95,21833.8001436018,17340.648400087517
